id,sku,titulo,descripcion,categorias,marca,precio,precioAnterior,stock,disponible,imagenes
GAF036,es. 0RB4171,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF037,es. 0RB4171,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF038,es. 0RB4165,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF039,es. 0RB4165,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF040,es. 0RB4165,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF041,es. 0RB2216,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF042,"es, 0RB2216",Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF043,es. 0RB2216,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF044,es. 0RB4466D,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF045,es. 0RB2283,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF046,es. 0RB4454,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF047,es. 0RB0840S,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF048,es. 0RB0840S,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF049,es. 0RB0840S,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF050,es. 0RB2289,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF051,es. 0RB2180,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF052,es. 0RB2180,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF053,es. 0RB2180,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF054,es. 0Rb2180,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
