"Handle","Title","Body (HTML)","Vendor","Product Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Inventory Qty","Variant Price","Variant Compare At Price","Image Src"
"rel006","Reloj digital con brazalete de acero SS y acero IPG dorado D-BEAR","<p>Reloj digital D-BEAR con brazalete y caja de acero inoxidable y acero en color IPG dorado. Diámetro caja: 36,5 x 44,8 mm. Esfera: metálica / Pantalla cristal líquido (LCD) con luz. Funciones: hora en 12 o 24 horas, minutos, segundos, día, mes y día de la semana, cronógrafo 1/100 segundos y alarma. Impermeable a 3 ATM. Batería: 3V litio CR2025 / 2,5 gramos (litio 0,003 gramos). Cristal: plano cuadrado con forma de oso en el interior. Cierre desplegable con pulsadores.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000134500","2","143","159","https://cloud-media.tous.com/medias/sys_master/images/hbf/hc1/13024336150558/1200Wx1200H_product_3000134500-20240103100203/1200Wx1200H-product-3000134500-20240103100203.jpg"
"rel006","Reloj digital con brazalete de acero SS y acero IPG dorado D-BEAR","<p>Reloj digital D-BEAR con brazalete y caja de acero inoxidable y acero en color IPG dorado. Diámetro caja: 36,5 x 44,8 mm. Esfera: metálica / Pantalla cristal líquido (LCD) con luz. Funciones: hora en 12 o 24 horas, minutos, segundos, día, mes y día de la semana, cronógrafo 1/100 segundos y alarma. Impermeable a 3 ATM. Batería: 3V litio CR2025 / 2,5 gramos (litio 0,003 gramos). Cristal: plano cuadrado con forma de oso en el interior. Cierre desplegable con pulsadores.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000134500","2","143","159","https://cloud-media.tous.com/medias/sys_master/images/hf3/hed/13072204955678/1200Wx1200H_product_3000134500_2-20240118180143/1200Wx1200H-product-3000134500-2-20240118180143.jpg"
"rel007","Reloj analógico con brazalete acero IPG dorado Karat","<p>Toda la familia Karat está inspirada en las tallas de las gemas preciosas.; vínculo entre el heritage relojero y la esencia joyera de la marca. El brazalete se encuentran perfectamente integrado a modo de pulsera con eslabones trabajados y facetados ofreciendo un brillo que da carácter a esta colección</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000136500","1","206","229","https://cloud-media.tous.com/medias/sys_master/images/hcf/hb5/13620347895838/1200Wx1200H_product_3000136500-20240805140152/1200Wx1200H-product-3000136500-20240805140152.jpg"
"rel007","Reloj analógico con brazalete acero IPG dorado Karat","<p>Toda la familia Karat está inspirada en las tallas de las gemas preciosas.; vínculo entre el heritage relojero y la esencia joyera de la marca. El brazalete se encuentran perfectamente integrado a modo de pulsera con eslabones trabajados y facetados ofreciendo un brillo que da carácter a esta colección</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000136500","1","206","229","https://cloud-media.tous.com/medias/sys_master/images/h14/h09/13620349272094/1200Wx1200H_product_3000136500_2-20240805140152/1200Wx1200H-product-3000136500-2-20240805140152.jpg"
"rel008","Reloj analógico de acero IPG dorado con correa de piel negra Heritage","<p>El reloj Heritage es un tributo a nuestros orígenes relojeros. La esencia de los inicios de TOUS en una colección atemporal. Los acabados bicolor son perfectos para generar looks con nuestras colecciones de joyeríaTimeless</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000136300","1","143","159","https://cloud-media.tous.com/medias/sys_master/images/h82/hc4/13620341538846/1200Wx1200H_product_3000136300-20240805140151/1200Wx1200H-product-3000136300-20240805140151.jpg"
"rel008","Reloj analógico de acero IPG dorado con correa de piel negra Heritage","<p>El reloj Heritage es un tributo a nuestros orígenes relojeros. La esencia de los inicios de TOUS en una colección atemporal. Los acabados bicolor son perfectos para generar looks con nuestras colecciones de joyeríaTimeless</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000136300","1","143","159","https://cloud-media.tous.com/medias/sys_master/images/hca/h75/13620343111710/1200Wx1200H_product_3000136300_2-20240805140152/1200Wx1200H-product-3000136300-2-20240805140152.jpg"
"rel009","Reloj analógico Icon Charms de acero IP dorado con nácar","<p>Esfera: nácar</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","700350165","1","206","229","https://cloud-media.tous.com/medias/sys_master/images/h10/h6f/13240560943134/1200Wx1200H_product_700350165-20240314180115/1200Wx1200H-product-700350165-20240314180115.jpg"
"rel009","Reloj analógico Icon Charms de acero IP dorado con nácar","<p>Esfera: nácar</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","700350165","1","206","229","https://cloud-media.tous.com/medias/sys_master/images/hd6/hd1/13370330578974/1200Wx1200H_product_700350165_9-20240502190111/1200Wx1200H-product-700350165-9-20240502190111.jpg"
"rel010","Reloj analógico S-Mesh de acero inoxidable","<p>Elegancia clásica y atemporal. Este reloj de acero inoxidable de la colección S-Mesh renueva el estilo de los modelos más clásicos aportando estilo y distinción a tu look.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","200350500","1","170","189","https://cloud-media.tous.com/medias/sys_master/images/hca/h4b/13242366099486/1200Wx1200H_product_200350500-20240315120110/1200Wx1200H-product-200350500-20240315120110.jpg"
"rel010","Reloj analógico S-Mesh de acero inoxidable","<p>Elegancia clásica y atemporal. Este reloj de acero inoxidable de la colección S-Mesh renueva el estilo de los modelos más clásicos aportando estilo y distinción a tu look.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","200350500","1","170","189","https://cloud-media.tous.com/medias/sys_master/images/h18/h21/13350841581598/1200Wx1200H_product_200350500_9-20240425160056/1200Wx1200H-product-200350500-9-20240425160056.jpg"
"rel011","Reloj analógico T-Shine de acero IP dorado con zirconias cúbicas","<p>Dorado con zirconias cúbicas</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","200350520","1","260","289","https://cloud-media.tous.com/medias/sys_master/images/h72/hb8/13242367148062/1200Wx1200H_product_200350520-20240315120110/1200Wx1200H-product-200350520-20240315120110.jpg"
"rel011","Reloj analógico T-Shine de acero IP dorado con zirconias cúbicas","<p>Dorado con zirconias cúbicas</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","200350520","1","260","289","https://cloud-media.tous.com/medias/sys_master/images/h6a/h96/13362203033630/1200Wx1200H_product_200350520_9-20240429190100/1200Wx1200H-product-200350520-9-20240429190100.jpg"
"rel012","Reloj analógico con acero IPG dorado y brazalete de acero Karat Round","<p>Reloj analógico con acero IPG dorado y brazalete de acero Karat Round</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","300358071","1","314","349","https://cloud-media.tous.com/medias/sys_master/images/h15/ha1/12492770312222/1200Wx1200H_product_300358071-20230712180039/1200Wx1200H-product-300358071-20230712180039.jpg"
"rel012","Reloj analógico con acero IPG dorado y brazalete de acero Karat Round","<p>Reloj analógico con acero IPG dorado y brazalete de acero Karat Round</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","300358071","1","314","349","https://cloud-media.tous.com/medias/sys_master/images/h46/h7f/12492930777118/1200Wx1200H_product_300358071_5-20230712190037/1200Wx1200H-product-300358071-5-20230712190037.jpg"
"rel013","Reloj digital con brazalete de acero D-Logo New","<p>Reloj digital TOUS D-Logo New con brazalete de malla milanesa de acero. Funciones: hora, minutos, segundos, día, mes, día de la semana, cronógrafo 1/100 segundos y alarma. Impermeable a 3 ATM. Batería: 3V litio CR2016 / 1,69 gramos (litio 0,025 gramos). Cierre ajustable con seguridad.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","300358100","1","125","139","https://cloud-media.tous.com/medias/sys_master/images/heb/he8/12454200541214/1200Wx1200H_product_300358100-20230627180054/1200Wx1200H-product-300358100-20230627180054.jpg"
"rel013","Reloj digital con brazalete de acero D-Logo New","<p>Reloj digital TOUS D-Logo New con brazalete de malla milanesa de acero. Funciones: hora, minutos, segundos, día, mes, día de la semana, cronógrafo 1/100 segundos y alarma. Impermeable a 3 ATM. Batería: 3V litio CR2016 / 1,69 gramos (litio 0,025 gramos). Cierre ajustable con seguridad.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","300358100","1","125","139","https://cloud-media.tous.com/medias/sys_master/images/hfe/h11/12454202638366/1200Wx1200H_product_300358100_2-20230627180054/1200Wx1200H-product-300358100-2-20230627180054.jpg"
"rel014","Reloj digital con brazalete de acero D-Logo New","<p>Reloj digital TOUS D-Logo con brazalete de acero. Funciones: hora, minutos, segundos, día, mes, día de la semana, cronógrafo 1/100 segundos y alarma. Impermeable a 5 ATM.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","200351021","1","134","149","https://cloud-media.tous.com/medias/sys_master/images/ha1/h7b/11646571151390/product_200351021-20220922150021/product-200351021-20220922150021.jpg_1200Wx1200H"
"rel014","Reloj digital con brazalete de acero D-Logo New","<p>Reloj digital TOUS D-Logo con brazalete de acero. Funciones: hora, minutos, segundos, día, mes, día de la semana, cronógrafo 1/100 segundos y alarma. Impermeable a 5 ATM.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","200351021","1","134","149","https://cloud-media.tous.com/medias/sys_master/images/heb/heb/13347327180830/1200Wx1200H_product_200351021_9-20240424130126/1200Wx1200H-product-200351021-9-20240424130126.jpg"
"rel015","Reloj smartwatch con correa de nylon y correa de silicona rosa palo T-Band","<p>Reloj smartwatch TOUS T-Band con doble correa intercambiable y caja de PC rosado. Correa de nylon con logo rapport en rosa sobre base negra y correa de silicona en color rosa palo con oso posicionado. Compatibilidad: Android 7.0 y iOS 12.0 o superior. Pantalla/LDC: táctil rectangular de 1,47 pulgadas TFT-DLC en color (Full Touch). Sistema operativo: RT OS. Conectividad: Bluetooth versión BLE 5.0. Memoria RAM: 128 kb, ROM Flash de 64 MB. Batería: 140 mAh, acumulador de batería 3.8V Litio/2,9 gr, recargable con cable magnético, 5-7 días en funcionamiento y 8-10 en reposo. Chipset: Realtek RTL8762CK y Frecuencia cardíaca: HRS 3300- ARM Cortex-M0 - 53MHz de velocidad. Impermeabilidad: IP68. Funciones: 5 Esferas TOUS y una puede ser intercambiada desde la TOUS WEAR APP, horas, minutos, mes, día, día de la semana, actividad diaria con contador de pasos, contador de calorías y distancia recorrida en millas o kilómetros, deportes (caminar, correr, senderismo, ciclismo, cinta/elíptica, yoga y basquetbol), frecuencia cardiaca, monitorización del sueño, presión sanguínea (aproximación), oxígeno en sangre (aproximación), notificaciones (llamadas, WhatsApp, email, SMS, Facebook, etc.), clima, función ovárica, cronógrafo 1/10 segundos, control música, encontrar móvil y control cámara. Cierre hebilla de aluminio.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","200351092","1","125","139","https://cloud-media.tous.com/medias/sys_master/images/h92/h16/12044187500574/product_200351092-20230206140045/product-200351092-20230206140045.jpg_1200Wx1200H"
